id_tarjeta,id_cliente,id_cliente_original,indice_tarjeta,marca_tarjeta,tipo_tarjeta,numero_tarjeta,fecha_expiracion,cvv,tiene_chip,tarjetas_emitidas,limite_credito,fecha_apertura,ano_ultimo_pin,en_dark_web
0,0,0,0,Visa,Débito,4344676511950444,12/2022,623,SÍ,2,24295.0,09/2002,2008,No
1,0,0,1,Visa,Débito,4956965974959986,12/2020,393,SÍ,2,21968.0,04/2014,2014,No
2,0,0,2,Visa,Débito,4582313478255491,02/2024,719,SÍ,2,46414.0,07/2003,2004,No
3,0,0,3,Visa,Crédito,4879494103069057,08/2024,693,NO,1,12400.0,01/2003,2012,No
4,0,0,4,Mastercard,Debit (Prepaid),5722874738736011,03/2009,75,SÍ,1,28.0,09/2008,2009,No
5,1,1,0,Visa,Crédito,4404898874682993,09/2003,736,SÍ,1,27500.0,09/2003,2012,No
6,1,1,1,Visa,Débito,4001482973848631,07/2022,972,SÍ,2,28508.0,02/2011,2011,No
7,1,1,2,Mastercard,Débito,5627220683410948,06/2022,48,SÍ,2,9022.0,07/2003,2015,No
8,1,1,3,Mastercard,Debit (Prepaid),5711382187309326,11/2020,722,SÍ,2,54.0,06/2010,2015,No
9,1,1,4,Mastercard,Debit (Prepaid),5766121508358701,02/2023,908,SÍ,1,99.0,07/2006,2012,No
10,2,2,0,Mastercard,Débito,5495199163052054,03/2022,677,SÍ,2,31599.0,10/2009,2009,No
11,2,2,1,Mastercard,Débito,5804499644308599,07/2023,258,NO,2,27480.0,03/2002,2008,No
12,2,2,2,Mastercard,Débito,5766352389579834,02/2020,992,SÍ,1,26743.0,03/2019,2019,No
13,2,2,3,Visa,Débito,4242015583697294,06/2020,928,SÍ,1,31463.0,04/2014,2014,No
14,2,2,4,Mastercard,Débito,5191030913182493,06/2024,360,SÍ,1,16055.0,09/2009,2009,No
15,3,3,0,Visa,Crédito,4017261190134817,05/2015,877,SÍ,2,98100.0,01/2011,2011,No
16,3,3,1,Mastercard,Debit (Prepaid),5581970288727991,06/2020,448,SÍ,1,62.0,02/2007,2007,No
17,3,3,2,Visa,Débito,4032240655674503,06/2022,53,SÍ,1,132439.0,11/2010,2011,No
18,3,3,3,Visa,Débito,4935974646456357,06/2020,649,SÍ,1,125723.0,10/2009,2010,No
19,4,4,0,Mastercard,Débito,5905027855347659,01/2022,886,SÍ,1,34900.0,12/1999,2012,No
20,5,5,0,Visa,Crédito,4099623033306950,09/2021,74,SÍ,2,9900.0,01/2002,2019,No
21,5,5,1,Visa,Débito,4281200324251212,07/2013,865,SÍ,2,21587.0,09/2007,2007,No
22,5,5,2,Visa,Crédito,4411456925570768,11/2022,922,SÍ,2,15800.0,11/2005,2011,No
23,6,6,0,Mastercard,Débito,5202477865497336,04/2022,861,SÍ,1,29964.0,06/2005,2014,No
24,6,6,1,Mastercard,Crédito,5089768442116305,07/2023,686,SÍ,2,11200.0,09/2010,2010,No
25,6,6,2,Mastercard,Débito,5767339719294372,12/2021,669,NO,2,26753.0,10/2014,2014,No
26,7,7,0,Visa,Débito,4595831603224644,05/2023,689,NO,2,17480.0,01/2020,2020,No
27,8,8,0,Mastercard,Débito,5341049613275152,09/2021,396,SÍ,2,26546.0,11/2009,2009,No
28,8,8,1,Mastercard,Débito,5668831527649353,01/2021,356,SÍ,1,23253.0,09/2017,2017,No
29,8,8,2,Visa,Crédito,4400056931148232,02/2021,497,SÍ,1,16100.0,01/2005,2014,No
30,8,8,3,Visa,Crédito,4808554251869440,02/2021,921,SÍ,2,8700.0,01/2012,2012,No
31,8,8,4,Mastercard,Débito,5224739362243611,01/2019,922,SÍ,1,29333.0,05/2012,2012,No
32,9,9,0,Mastercard,Débito,5294178176133532,07/2024,265,SÍ,2,9496.0,07/2009,2012,No
33,10,10,0,Visa,Débito,4857799018106614,07/2021,930,SÍ,1,25499.0,02/2020,2020,No
